Hello from premain
------------------------------------------------------------
name: okhttp3.OkHttpClient$Builder
canonicalName: okhttp3.OkHttpClient.Builder
simpleName: Builder
typeName: okhttp3.OkHttpClient$Builder
------------------------------------------------------------
[Byte Buddy] DISCOVERY jdk.internal.vm.PostVMInitHook [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE jdk.internal.vm.PostVMInitHook [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE jdk.internal.vm.PostVMInitHook [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY jdk.internal.vm.PostVMInitHook$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE jdk.internal.vm.PostVMInitHook$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE jdk.internal.vm.PostVMInitHook$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY sun.launcher.LauncherHelper [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE sun.launcher.LauncherHelper [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE sun.launcher.LauncherHelper [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.jar.JarVerifier [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.jar.JarVerifier [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.jar.JarVerifier [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.security.CodeSigner [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.security.CodeSigner [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.security.CodeSigner [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.example.OkHttpClientApp [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.example.OkHttpClientApp [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.example.OkHttpClientApp [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
Hello OkHttpClient!
[Byte Buddy] DISCOVERY okhttp3.Dispatcher [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okhttp3.Dispatcher [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okhttp3.Dispatcher [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okhttp3.ConnectionPool [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okhttp3.ConnectionPool [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okhttp3.ConnectionPool [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY kotlin.jvm.internal.Intrinsics [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE kotlin.jvm.internal.Intrinsics [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE kotlin.jvm.internal.Intrinsics [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY kotlin.UninitializedPropertyAccessException [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE kotlin.UninitializedPropertyAccessException [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
